Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,CV Mean,CV Std,Best Parameters
Gradient Boosting,0.798862828713575,0.6408668730650154,0.553475935828877,0.593974175035868,0.8475638165149013,0.8619032772680526,0.006609075275605477,Default Parameters
Logistic Regression,0.8081023454157783,0.6494252873563219,0.6042780748663101,0.6260387811634349,0.8426860139461927,0.8593949160640392,0.008645686729396165,Default Parameters
AdaBoost,0.7924662402274343,0.6273291925465838,0.5401069518716578,0.5804597701149425,0.8397934990241807,0.8610436726133115,0.009395105965764664,Default Parameters
Random Forest,0.7882018479033405,0.625,0.5080213903743316,0.56047197640118,0.832177190157943,0.8473454695635978,0.006266290080124593,Default Parameters
XGBoost,0.7789623312011372,0.591304347826087,0.5454545454545454,0.5674547983310153,0.8288588866858898,0.8374177038878585,0.010194146858596063,Default Parameters
Extra Trees,0.7789623312011372,0.5975232198142415,0.516042780748663,0.5538020086083214,0.8039962002578027,0.8250216621992598,0.008279828957267739,Default Parameters
Decision Tree,0.7313432835820896,0.4948186528497409,0.5106951871657754,0.5026315789473684,0.6609623080068955,0.6714492213755294,0.009993940842031033,Default Parameters
